City,Type,Index
"Benton Harbor, MI",metro,89.4
"North Port, FL",metro,98.8
"Sarasota, FL",metro,98.8
"Bradenton, FL",metro,98.8
"Norwich, CT",metro,100.3
"New London, CT",metro,100.3
"Ocala, FL",metro,90.2
"Ocean City, NJ",metro,106.8
"Odessa, TX",metro,97.6
"Ogden, UT",metro,95.6
"Clearfield, UT",metro,95.6
"Oklahoma City, OK",metro,92.1
"Olympia, WA",metro,106.2
"Tumwater, WA",metro,106.2
"Omaha, NE",metro,93.7
"Omaha, IA",metro,93.7
"Council Bluffs, NE",metro,93.7
"Council Bluffs, IA",metro,93.7
"Orlando, FL",metro,97.8
"Kissimmee, FL",metro,97.8
"Sanford, FL",metro,97.8
"Oshkosh, WI",metro,91.3
"Neenah, WI",metro,91.3
"Owensboro, KY",metro,87.5
"Oxnard, CA",metro,116.1
"Thousand Oaks, CA",metro,116.1
"Ventura, CA",metro,116.1
"Palm Bay, FL",metro,95.3
"Melbourne, FL",metro,95.3
"Titusville, FL",metro,95.3
"Panama City, FL",metro,94.2
"Parkersburg, WV",metro,86.3
"Vienna, WV",metro,86.3
"Pensacola, FL",metro,93
"Ferry Pass, FL",metro,93
"Brent, FL",metro,93
"Peoria, IL",metro,91.7
"Philadelphia, PA",metro,106.3
"Philadelphia, NJ",metro,106.3
"Philadelphia, DE",metro,106.3
"Philadelphia, MD",metro,106.3
"Camden, PA",metro,106.3
"Camden, NJ",metro,106.3
"Camden, DE",metro,106.3
"Camden, MD",metro,106.3
"Wilmington, PA",metro,106.3
"Wilmington, NJ",metro,106.3
"Wilmington, DE",metro,106.3
"Wilmington, MD",metro,106.3
"Phoenix, AZ",metro,97.2
"Mesa, AZ",metro,97.2
"Scottsdale, AZ",metro,97.2
"Pine Bluff, AR",metro,83.5
"Pittsburgh, PA",metro,94.7
"Pittsfield, MA",metro,95.1
"Pocatello, ID",metro,89.2
"Portland, ME",metro,101
"South Portland, ME",metro,101
"Portland, OR",metro,101.8
"Portland, WA",metro,101.8
"Vancouver, OR",metro,101.8
"Vancouver, WA",metro,101.8
"Hillsboro, OR",metro,101.8
"Hillsboro, WA",metro,101.8
"Port St. Lucie, FL",metro,95.8
"Prescott, AZ",metro,95.2
"Providence, RI",metro,99.1
"Providence, MA",metro,99.1
"Warwick, RI",metro,99.1
"Warwick, MA",metro,99.1
"Provo, UT",metro,97.5
"Orem, UT",metro,97.5
"Pueblo, CO",metro,92.1
"Punta Gorda, FL",metro,94.6
"Racine, WI",metro,93.6
"Raleigh, NC",metro,95.8
"Rapid City, SD",metro,91.6
"Reading, PA",metro,95.5
"Redding, CA",metro,98.1
"Reno, NV",metro,99.1
"Richmond, VA",metro,96.1
"Riverside, CA",metro,106.7
"San Bernardino, CA",metro,106.7
"Ontario, CA",metro,106.7
"Roanoke, VA",metro,91.3
"Rochester, MN",metro,93.6
"Rochester, NY",metro,97.6
"Rockford, IL",metro,90.6
"Rocky Mount, NC",metro,85.1
"Rome, GA",metro,80.2
"Sacramento, CA",metro,102.6
", CA",metro,102.6
"Roseville, CA",metro,102.6
", CA",metro,102.6
"Arden, CA",metro,102.6
"Arcade, CA",metro,102.6
"Saginaw, MI",metro,89.1
"St. Cloud, MN",metro,92.4
"St. George, UT",metro,93.8
"St. Joseph, MO",metro,88.2
"St. Joseph, KS",metro,88.2
"St. Louis, MO",metro,90.6
"St. Louis, IL",metro,90.6
"Salem, OR",metro,95.5
"Salinas, CA",metro,108.5
"Salisbury, MD",metro,90.2
"Salisbury, DE",metro,90.2
"Salt Lake City, UT",metro,100
"San Angelo, TX",metro,93.9
"San Antonio, TX",metro,94.4
"New Braunfels, TX",metro,94.4
"San Diego, CA",metro,116.6
"Carlsbad, CA",metro,116.6
"San Francisco, CA",metro,121.9
"Oakland, CA",metro,121.9
"Hayward, CA",metro,121.9
"San Jose, CA",metro,124.1
"Sunnyvale, CA",metro,124.1
"Santa Clara, CA",metro,124.1
"San Luis Obispo, CA",metro,107.3
"Paso Robles, CA",metro,107.3
"Arroyo Grande, CA",metro,107.3
"Santa Cruz, CA",metro,122
"Watsonville, CA",metro,122
"Santa Fe, NM",metro,100.1
"Santa Maria, CA",metro,109.4
"Santa Barbara, CA",metro,109.4
"Santa Rosa, CA",metro,118.5
"Savannah, GA",metro,93.6
"Scranton, PA",metro,92
", PA",metro,92
"Wilkes, PA",metro,92
"Barre, PA",metro,92
", PA",metro,92
"Hazleton, PA",metro,92
"Seattle, WA",metro,109.4
"Tacoma, WA",metro,109.4
"Bellevue, WA",metro,109.4
"Sebastian, FL",metro,91.5
"Vero Beach, FL",metro,91.5
"Sebring, FL",metro,81.9
"Sheboygan, WI",metro,90.9
"Sherman, TX",metro,91.3
"Denison, TX",metro,91.3
"Shreveport, LA",metro,90.4
"Bossier City, LA",metro,90.4
"Sierra Vista, AZ",metro,89.7
"Douglas, AZ",metro,89.7
"Sioux City, IA",metro,88.7
"Sioux City, NE",metro,88.7
"Sioux City, SD",metro,88.7
"Sioux Falls, SD",metro,92.4
"South Bend, IN",metro,89.3
"South Bend, MI",metro,89.3
"Mishawaka, IN",metro,89.3
"Mishawaka, MI",metro,89.3
"Spartanburg, SC",metro,87.4
"Spokane, WA",metro,95.6
"Spokane Valley, WA",metro,95.6
"Springfield, IL",metro,91.2
"Springfield, MA",metro,97.3
"Springfield, MO",metro,88.3
"Springfield, OH",metro,87.8
"State College, PA",metro,102.1
"Staunton, VA",metro,87.6
"Waynesboro, VA",metro,87.6
"Stockton, CA",metro,100.4
"Lodi, CA",metro,100.4
"Sumter, SC",metro,87.7
"Syracuse, NY",metro,95.9
"Tallahassee, FL",metro,93.3
"Tampa, FL",metro,100.7
"St. Petersburg, FL",metro,100.7
"Clearwater, FL",metro,100.7
"Terre Haute, IN",metro,87.8
"Texarkana, TX",metro,86.6
"Texarkana, AR",metro,86.6
"The Villages, FL",metro,91.7
"Toledo, OH",metro,89.2
"Topeka, KS",metro,89.4
"Trenton, NJ",metro,112
"Tucson, AZ",metro,97
"Tulsa, OK",metro,91
"Tuscaloosa, AL",metro,88.1
"Tyler, TX",metro,94
"Urban Honolulu, HI",metro,124.5
"Utica, NY",metro,93.4
"Rome, NY",metro,93.4
"Valdosta, GA",metro,81.1
"Vallejo, CA",metro,115.9
"Fairfield, CA",metro,115.9
"Victoria, TX",metro,94.1
"Vineland, NJ",metro,100.1
"Bridgeton, NJ",metro,100.1
"Virginia Beach, VA",metro,98
"Virginia Beach, NC",metro,98
"Norfolk, VA",metro,98
"Norfolk, NC",metro,98
"Newport News, VA",metro,98
"Newport News, NC",metro,98
"Visalia, CA",metro,95.4
"Porterville, CA",metro,95.4
"Waco, TX",metro,91.5
"Walla Walla, WA",metro,93.8
"Warner Robins, GA",metro,89.5
"Washington, DC",metro,119.1
"Washington, VA",metro,119.1
"Washington, MD",metro,119.1
"Washington, WV",metro,119.1
"Arlington, DC",metro,119.1
"Arlington, VA",metro,119.1
"Arlington, MD",metro,119.1
"Arlington, WV",metro,119.1
"Alexandria, DC",metro,119.1
"Alexandria, VA",metro,119.1
"Alexandria, MD",metro,119.1
"Alexandria, WV",metro,119.1
"Waterloo, IA",metro,90.8
"Cedar Falls, IA",metro,90.8
"Watertown, NY",metro,98.3
"Fort Drum, NY",metro,98.3
"Wausau, WI",metro,91.2
"Weirton, WV",metro,85.6
"Weirton, OH",metro,85.6
"Steubenville, WV",metro,85.6
"Steubenville, OH",metro,85.6
"Wenatchee, WA",metro,94.9
"Wheeling, WV",metro,86.3
"Wheeling, OH",metro,86.3
"Wichita, KS",metro,90.7
"Wichita Falls, TX",metro,90.1
"Williamsport, PA",metro,93
"Wilmington, NC",metro,94
"Winchester, VA",metro,91.6
"Winchester, WV",metro,91.6
"Winston, NC",metro,89.4
"Salem, NC",metro,89.4
"Worcester, MA",metro,103.5
"Worcester, CT",metro,103.5
"Yakima, WA",metro,94.7
"York, PA",metro,96.2
"Hanover, PA",metro,96.2
"Youngstown, OH",metro,87.7
"Youngstown, PA",metro,87.7
"Warren, OH",metro,87.7
"Warren, PA",metro,87.7
"Boardman, OH",metro,87.7
"Boardman, PA",metro,87.7
"Yuba City, CA",metro,98.7
"Yuma, AZ",metro,92.9
